Accession No,Title,Author,Publisher,Copies
705,MARKETING RESEARCH,"A PARSHURAMAN, DHRUV GREWAL, R KRISHANAN",BIZTANTRA PUBLICATION,
683,MARKETING RESEARCH,"A PARSHURAMAN, DHRUV GREWAL, R KRISHANAN",BIZTANTRA PUBLICATION,
1210,MARKETING IN PUBLIC SECTOR,"PHILIP KETLER, NANCY LEE",WHATSON SCHOOL PUBLISHING,
117,THE HANDBOOK FOR MEDIA HANDLING ,JOHN CLARE ,INFINITY  BOOKS,
178,THE HANDBOOK FOR MEDIA HANDLING ,JOHN CLARE ,INFINITY  BOOKS,
663,"RURAL MARKETING ENVIRONMENT, PROBLEMS AND STRATEGIES",T P GOPALASWAMY ,VIKAS PUBLISHING HOUSE,
650,"RURAL MARKETING ENVIRONMENT, PROBLEMS AND STRATEGIES",T P GOPALASWAMY ,VIKAS PUBLISHING HOUSE,
686,"RURAL MARKETING ENVIRONMENT, PROBLEMS AND STRATEGIES",T P GOPALASWAMY ,VIKAS PUBLISHING HOUSE,
692,MARKETING TOOL KIT AN ENCYCLOPIDIA OF FRESH AND TESTED IDEAS,NICK ROBINSON,JAICO PUBLISHING HOUSE ,
43,MARKETING IN PUBLIC SECTOR,"PHILIP KETLER, NANCY LEE",WHATSON SCHOOL PUBLISHING,
633,FOUNDATIONS OF MARKETING ,"DAVID JOBBER, JOHN FAHY",TATA MCGRAW HILL,
699,FOUNDATIONS OF MARKETING ,"DAVID JOBBER, JOHN FAHY",TATA MCGRAW HILL,
647,DIRECT MARKETING ,ROBERT MCCOY,JAICO PUBLISHING HOUSE ,
648,DIRECT MARKETING ,ROBERT MCCOY,JAICO PUBLISHING HOUSE ,
1206,"RURAL MARKETING ENVIRONMENT, PROBLEMS AND STRATEGIES",T P GOPALASWAMY ,VIKAS PUBLISHING HOUSE,
684,MARKETING RESEARCH,G C BERI ,TATA MCGRAW HILL,
Z2170,MARKETING RESEARCH,G C BERI ,TATA MCGRAW HILL,
725,MANAGING INDIAN BRANDS,S RAMESH KUMAR ,VIKAS PUBLISHING HOUSE,
1138,MANAGING INDIAN BRANDS,S RAMESH KUMAR ,VIKAS PUBLISHING HOUSE,
1085,MANAGING INDIAN BRANDS,S RAMESH KUMAR ,VIKAS PUBLISHING HOUSE,
1201,RURAL MARKETING CONCEPTS AND PRACTICES ,"BALRAM DOGRA, KARMINDER GHUMAN",TATA MCGRAW HILL,
1192,RURAL MARKETING CONCEPTS AND PRACTICES ,"BALRAM DOGRA, KARMINDER GHUMAN",TATA MCGRAW HILL,
693,RURAL AND AGRICULTURAL MARKETING INCLUDES CASE STUDIES,RAMKISHEN Y ,JAICO PUBLISHING HOUSE ,
694,RURAL AND AGRICULTURAL MARKETING INCLUDES CASE STUDIES,RAMKISHEN Y ,JAICO PUBLISHING HOUSE ,
Z3033,RURAL AND AGRICULTURAL MARKETING INCLUDES CASE STUDIES,RAMKISHEN Y ,JAICO PUBLISHING HOUSE ,
680,MARKETING CHANNELS,"ANNET CONGHLAM, ERIN ANDREVAN, LOUIS STERN, ADEL ",PEARSON EDUCATION,
587,MARKETING MANAGEMENT ,"RAMASWAMY, NAMAKUMARI",MACMILLAN EDUCATION,
536,MARKETING MANAGEMENT ,"RAMASWAMY, NAMAKUMARI",MACMILLAN EDUCATION,
Z3005,MARKETING MANAGEMENT ,SAXENA ,TATA MCGRAW HILL,
1163,Strategic Management: Concepts and Cases: Competitiveness and Globalization,"Michael A. Hitt, R. Duane Ireland, Robert E. Hoskisson, Jeffrey S. Harrison",cengage education,
688,MARKETING ,"KERIEN, HARTLY, RUDELIUS",MCGRAW HILL,
Z3009,MARKETING ,"KERIEN, HARTLY, RUDELIUS",MCGRAW HILL,
687,MARKETING ,"KERIEN, HARTLY, RUDELIUS",MCGRAW HILL,
Z3010,INTRODUCTION TO MARKETING,ADRIAN PALMER,OXFORD,
643,INDUSTRIAL MARKETING MANAGEMENT,M GOVINDRAJAN,VIKAS PUBLISHING HOUSE,
696,INDUSTRIAL MARKETING MANAGEMENT,M GOVINDRAJAN,VIKAS PUBLISHING HOUSE,
2266,RETAILING MANAGEMENT,SWAPNA PRADHAN,MCGRAW HILL,
1187,Rural Marketing: Text and Cases,"C. S. G. Krishnamacharyulu ,Lalitha Ramakrishnan",PEARSON EDUCATION,
1213,Rural Marketing: Text and Cases,"C. S. G. Krishnamacharyulu ,Lalitha Ramakrishnan",PEARSON EDUCATION,
652,MARKETING CONSEPTS AND CASES,PRIDE FERREL,BIZTANTRA PUBLICATION,
Z2216,MARKETING MANAGEMENT ,"SAROJKUMAR, NEERAJ TRIPATHI",,
603,CONTEMPORARY INDIAN CASES IN MARKETING,MUKESH PANDEY,BIZTANTRA PUBLICATION,
243,MULTIMEDIA MAKING IT WORK ,TAY VAUGHAN,MCGRAW HILL,
Z2182,MULTIMEDIA MAKING IT WORK ,TAY VAUGHAN,MCGRAW HILL,
Z2181,MULTIMEDIA MAKING IT WORK ,TAY VAUGHAN,MCGRAW HILL,
668,MARKETING ,"JOEL EVANS, BARRY BERMAN",BIZTANTRA PUBLICATION,
672,MARKETING ,"JOEL EVANS, BARRY BERMAN",BIZTANTRA PUBLICATION,
671,MARKETING ,"JOEL EVANS, BARRY BERMAN",BIZTANTRA PUBLICATION,
Z3000,GLOBAL MARKETING MANAGEMENT ,WARREN J KEEGAN,PEARSON EDUCATION,
Z3001,GLOBAL MARKETING MANAGEMENT ,WARREN J KEEGAN,PEARSON EDUCATION,
Z3002,GLOBAL MARKETING MANAGEMENT ,WARREN J KEEGAN,PEARSON EDUCATION,
1196,MARKETING ,"Michael J. Etzel, Bruce J. Walker, William J. Stanton",MCGRAW HILL,
Z3003,MARKETING ,"Michael J. Etzel, Bruce J. Walker, William J. Stanton",MCGRAW HILL,
658,MARKETING RESEARCH,NARESH MALHOTRA,PEARSON EDUCATION,
679,MARKETING RESEARCH,NARESH MALHOTRA,PEARSON EDUCATION,
Z3004,MARKETING RESEARCH,NARESH MALHOTRA,PEARSON EDUCATION,
1117,MARKETING RESEARCH,NARESH MALHOTRA,PEARSON EDUCATION,
Z2235,RURAL MARKETING ,PRADEEP KASHYAP,PEARSON EDUCATION,
Z2236,RURAL MARKETING ,PRADEEP KASHYAP,PEARSON EDUCATION,
657,MARKETING RESEARCH,"ALVIN BURNS, RONALD BUSH",PEARSON EDUCATION,
679,MARKETING RESEARCH,"ALVIN BURNS, RONALD BUSH",PEARSON EDUCATION,
Z2211,INTERNATIONAL MARKETING,DANA NICOLETA LASCU,BIZTANTRA PUBLICATION,
660,INTERNATIONAL MARKETING,DANA NICOLETA LASCU,BIZTANTRA PUBLICATION,
664,INTERNATIONAL MARKETING,DANA NICOLETA LASCU,BIZTANTRA PUBLICATION,
Z1114,SERVICES MARKETING,"CHRISTOPHER LOVELOCK, JOCHEN WIRTZ, JAYANTEE CHATTERJEE",PEARSON EDUCATION,
2281,SERVICES MARKETING,"CHRISTOPHER LOVELOCK, JOCHEN WIRTZ, JAYANTEE CHATTERJEE",PEARSON EDUCATION,
2375,SERVICES MARKETING,"CHRISTOPHER LOVELOCK, JOCHEN WIRTZ, JAYANTEE CHATTERJEE",PEARSON EDUCATION,
667,INTERNATIONAL MARKETING,RAJAGOPAL,VIKAS PUBLISHING HOUSE,
Z3007,INTERNATIONAL MARKETING,RAJAGOPAL,VIKAS PUBLISHING HOUSE,
1046,INTERNATIONAL MARKETING," Michael Czinkota, Ilkka Ronkainen, Annie Cui",cengage education,
Z2215,STRATEGIC MARKETING,"CAROL H ANDERSON, JALIAN W VINCZE",BIZTANTRA PUBLICATION,
710,STRATEGIC MARKETING,"CAROL H ANDERSON, JALIAN W VINCZE",BIZTANTRA PUBLICATION,
Z2171,STRATEGIC MARKETING,"CAROL H ANDERSON, JALIAN W VINCZE",BIZTANTRA PUBLICATION,
677,INTERNATIONAL MARKETING,"ONKVISIT, SHAW",PEARSON EDUCATION,
676,INTERNATIONAL MARKETING,"ONKVISIT, SHAW",PEARSON EDUCATION,
673,INTERNATIONAL MARKETING,"ONKVISIT, SHAW",PEARSON EDUCATION,
681,INTERNATIONAL MARKETING,"ONKVISIT, SHAW",PEARSON EDUCATION,
Z3006,INTERNATIONAL MARKETING,CATEORA GRAHAM,TATA MCGRAW HILL,
1163,STRATEGIC MANAGEMENT ,KELVIN KELLER,PEARSON EDUCATION,
393,BUSINESS ENVIRONMENT TEXT AND CASES,FRANCIS CHERUNILAM ,HIMALAYA PUBLISHING HOUSE,
391,BUSINESS ENVIRONMENT TEXT AND CASES,FRANCIS CHERUNILAM ,HIMALAYA PUBLISHING HOUSE,
392,BUSINESS ENVIRONMENT TEXT AND CASES,FRANCIS CHERUNILAM ,HIMALAYA PUBLISHING HOUSE,
390,BUSINESS ENVIRONMENT TEXT AND CASES,FRANCIS CHERUNILAM ,HIMALAYA PUBLISHING HOUSE,
28,BUSINESS PROCESS OUTSOURCING,SARIKA KULKARNI,JAICO PUBLISHING HOUSE ,
27,BUSINESS PROCESS OUTSOURCING,SARIKA KULKARNI,JAICO PUBLISHING HOUSE ,
25,BUSINESS PROCESS OUTSOURCING,SARIKA KULKARNI,JAICO PUBLISHING HOUSE ,
26,BUSINESS PROCESS OUTSOURCING,SARIKA KULKARNI,JAICO PUBLISHING HOUSE ,
29,BUSINESS PROCESS OUTSOURCING,SARIKA KULKARNI,JAICO PUBLISHING HOUSE ,
909,E BUSINESS AND COMMERCE STRATEGIC THINKING AND PRACTICE,BRAHM CANZER,BIZTANTRA PUBLICATION,
815,E BUSINESS AND COMMERCE STRATEGIC THINKING AND PRACTICE,BRAHM CANZER,BIZTANTRA PUBLICATION,
814,E BUSINESS AND COMMERCE STRATEGIC THINKING AND PRACTICE,BRAHM CANZER,BIZTANTRA PUBLICATION,
167,A STUDY IN BUSINESS ETHICS ,RITUPARNA RAY,HIMALAYA PUBLISHING HOUSE,
165,A STUDY IN BUSINESS ETHICS ,RITUPARNA RAY,HIMALAYA PUBLISHING HOUSE,
367,A STUDY IN BUSINESS ETHICS ,RITUPARNA RAY,HIMALAYA PUBLISHING HOUSE,
166,A STUDY IN BUSINESS ETHICS ,RITUPARNA RAY,HIMALAYA PUBLISHING HOUSE,
369,A STUDY IN BUSINESS ETHICS ,RITUPARNA RAY,HIMALAYA PUBLISHING HOUSE,
365,A STUDY IN BUSINESS ETHICS ,RITUPARNA RAY,HIMALAYA PUBLISHING HOUSE,
1239,BUSINESS ECONOMICS,MANAB ADHIKARY,EXCEL BOOKS,
1240,BUSINESS ECONOMICS,MANAB ADHIKARY,EXCEL BOOKS,
2108,BUSINESS ENVIRONMENT TEXT AND CASES,FRANCIS CHERUNILAM ,HIMALAYA PUBLISHING HOUSE,
